chord,real,ctx,layer,budget,chord_rank1,best_note_id,best_note_logit,margin,any_note_reach,all_note_reach
color,True,Once upon a time,0,45,True,13753,0.20205442607402802,0.022020503878593445,True,1.0
color,True,Once upon a time,8,17,True,2518,0.09268435835838318,0.0026263445615768433,True,0.8
color,True,Once upon a time,8,45,True,6303,0.20371505618095398,0.02459096908569336,True,1.0
color,True,Once upon a time,15,17,True,4158,0.09695032238960266,0.0004639923572540283,True,0.8
color,True,Once upon a time,15,45,True,4158,0.20395343005657196,0.01695278286933899,True,1.0
color,True,Once upon a time,23,17,False,13876,0.07030221819877625,-0.005966834723949432,True,0.3
color,True,Once upon a time,23,45,True,6303,0.18876147270202637,0.017722874879837036,True,1.0
city,True,The capital of France is,0,17,False,26194,0.07552916556596756,-0.03322325646877289,True,0.9
city,True,The capital of France is,0,45,True,26194,0.1791582703590393,0.00933140516281128,True,1.0
city,True,The capital of France is,8,17,False,19846,0.06433778256177902,-0.03512438386678696,True,0.7
city,True,The capital of France is,8,45,True,50189,0.1719668060541153,0.003024742007255554,True,1.0
city,True,The capital of France is,15,17,False,19846,0.07334238290786743,-0.023900248110294342,True,1.0
city,True,The capital of France is,15,45,True,50189,0.17736899852752686,0.0041384100914001465,True,1.0
city,True,The capital of France is,23,17,False,12095,0.11820999532938004,-0.02899795025587082,True,0.7
city,True,The capital of France is,23,45,False,12095,0.2005510926246643,-0.029296934604644775,True,1.0
city,True,Once upon a time,0,17,False,26194,0.07565318048000336,-0.03299955278635025,True,0.9
city,True,Once upon a time,0,45,True,26194,0.17924895882606506,0.00933028757572174,True,1.0
city,True,Once upon a time,8,17,False,19846,0.07106973230838776,-0.024395853281021118,True,0.9
city,True,Once upon a time,8,45,True,19846,0.16974332928657532,0.0044095516204833984,True,1.0
city,True,Once upon a time,15,17,False,19846,0.07913985103368759,-0.0036064013838768005,True,1.0
city,True,Once upon a time,15,45,True,26194,0.1799715757369995,0.00990574061870575,True,1.0
city,True,Once upon a time,23,17,False,26194,0.06582607328891754,-0.025762155652046204,True,0.8
city,True,Once upon a time,23,45,False,26194,0.17190620303153992,-0.02031378448009491,True,1.0
nature,True,The capital of France is,0,17,False,17951,0.057575523853302,-0.053534090518951416,True,0.9
nature,True,The capital of France is,0,45,False,13638,0.14836958050727844,-0.013017743825912476,True,1.0
nature,True,The capital of France is,8,17,False,13638,0.060422420501708984,-0.036000341176986694,True,1.0
nature,True,The capital of France is,8,45,False,13638,0.15255561470985413,-0.009007871150970459,True,1.0
nature,True,The capital of France is,15,17,False,16301,0.06216416507959366,-0.028857290744781494,True,0.9
nature,True,The capital of France is,15,45,False,14796,0.14870843291282654,-0.0051743388175964355,True,1.0
nature,True,The capital of France is,23,17,False,14796,0.06083526462316513,-0.04344383627176285,True,0.8
nature,True,The capital of France is,23,45,False,14796,0.14797818660736084,-0.05538244545459747,True,1.0
nature,True,Once upon a time,0,17,False,17951,0.05749711021780968,-0.0535418726503849,True,0.9
nature,True,Once upon a time,0,45,False,13638,0.1482619047164917,-0.013099119067192078,True,1.0
nature,True,Once upon a time,8,17,False,13638,0.061898380517959595,-0.03419284522533417,True,1.0
nature,True,Once upon a time,8,45,False,13638,0.1537613570690155,-0.004402488470077515,True,1.0
nature,True,Once upon a time,15,17,False,4916,0.05559973418712616,-0.02419951558113098,True,1.0
nature,True,Once upon a time,15,45,False,13638,0.14301413297653198,-0.01070261001586914,True,1.0
nature,True,Once upon a time,23,17,False,14796,0.05828661471605301,-0.03188060224056244,True,0.5
nature,True,Once upon a time,23,45,False,13638,0.14895161986351013,-0.058755651116371155,True,1.0
number,True,The capital of France is,0,17,True,8094,0.0848938375711441,0.008531570434570312,True,0.9
number,True,The capital of France is,0,45,True,8094,0.21875591576099396,0.04992903769016266,True,1.0
number,True,The capital of France is,8,17,False,5779,0.07317627221345901,-0.005476750433444977,True,0.6
number,True,The capital of France is,8,45,True,3040,0.20830661058425903,0.04528018832206726,True,1.0
number,True,The capital of France is,15,17,True,3040,0.08413027971982956,0.005100615322589874,True,0.8
number,True,The capital of France is,15,45,True,3040,0.21787475049495697,0.04854273796081543,True,1.0
number,True,The capital of France is,23,17,True,4236,0.097836434841156,0.007320240139961243,True,0.9
number,True,The capital of France is,23,45,True,4236,0.22721314430236816,0.042905017733573914,True,1.0
number,True,Once upon a time,0,17,True,8094,0.08486267179250717,0.008510567247867584,True,0.9
number,True,Once upon a time,0,45,True,8094,0.2187321037054062,0.05011856555938721,True,1.0
number,True,Once upon a time,8,17,False,5779,0.07381854951381683,-0.002069622278213501,True,0.6
number,True,Once upon a time,8,45,True,3040,0.204713374376297,0.04248666763305664,True,1.0
number,True,Once upon a time,15,17,True,4236,0.08675503730773926,0.007271870970726013,True,0.7
number,True,Once upon a time,15,45,True,4236,0.2190488874912262,0.04939009249210358,True,1.0
number,True,Once upon a time,23,17,False,4236,0.08918091654777527,-0.004337817430496216,True,0.4
number,True,Once upon a time,23,45,True,8094,0.22153660655021667,0.04116460680961609,True,1.0
rand0,False,The capital of France is,0,17,False,123565,0.1108831912279129,-0.03369860351085663,True,0.8
rand0,False,The capital of France is,0,45,False,123565,0.22949770092964172,-0.10504576563835144,True,1.0
rand0,False,The capital of France is,8,17,False,123565,0.09588279575109482,-0.04257369786500931,True,0.6
rand0,False,The capital of France is,8,45,False,123565,0.21934828162193298,-0.08645984530448914,True,1.0
rand0,False,The capital of France is,15,17,False,123565,0.09578762948513031,-0.03276260197162628,True,0.7
rand0,False,The capital of France is,15,45,False,123565,0.21883219480514526,-0.10433605313301086,True,1.0
rand0,False,The capital of France is,23,17,False,2511,0.08299963921308517,-0.07828796654939651,True,0.8
rand0,False,The capital of France is,23,45,False,2511,0.2182626724243164,-0.1716049313545227,True,1.0
rand0,False,Once upon a time,0,17,False,123565,0.11122936010360718,-0.0332493782043457,True,0.8
rand0,False,Once upon a time,0,45,False,123565,0.22974655032157898,-0.10434773564338684,True,1.0
rand0,False,Once upon a time,8,17,False,123565,0.09714556485414505,-0.03351824730634689,True,0.6
rand0,False,Once upon a time,8,45,False,123565,0.2202005386352539,-0.08560982346534729,True,1.0
rand0,False,Once upon a time,15,17,False,123565,0.09508658945560455,-0.028644464910030365,True,0.9
rand0,False,Once upon a time,15,45,False,123565,0.21817465126514435,-0.11693818867206573,True,1.0
rand0,False,Once upon a time,23,17,False,2511,0.08987216651439667,-0.0773143619298935,True,0.9
rand0,False,Once upon a time,23,45,False,2511,0.22341890633106232,-0.17056117951869965,True,1.0
rand1,False,The capital of France is,0,17,False,5102,0.09916746616363525,-0.0541439950466156,True,0.7
rand1,False,The capital of France is,0,45,False,84219,0.251764178276062,-0.10528832674026489,True,0.8
rand1,False,The capital of France is,8,17,False,5102,0.0750403180718422,-0.06853010505437851,True,0.6
rand1,False,The capital of France is,8,45,False,84219,0.2330990731716156,-0.09576988220214844,True,0.8
rand1,False,The capital of France is,15,17,False,5102,0.10012145340442657,-0.03451627492904663,True,0.8
rand1,False,The capital of France is,15,45,False,84219,0.2612319588661194,-0.0825452208518982,True,0.8
rand1,False,The capital of France is,23,17,False,84219,0.10907777398824692,-0.05869314819574356,True,0.8
rand1,False,The capital of France is,23,45,False,84219,0.27362725138664246,-0.13192033767700195,True,0.8
rand1,False,Once upon a time,0,17,False,5102,0.09836716949939728,-0.05486990511417389,True,0.7
rand1,False,Once upon a time,0,45,False,84219,0.2519848048686981,-0.10459503531455994,True,0.8
rand1,False,Once upon a time,8,17,False,5102,0.07715165615081787,-0.057517051696777344,True,0.6
rand1,False,Once upon a time,8,45,False,5102,0.23073457181453705,-0.09777869284152985,True,0.8
rand1,False,Once upon a time,15,17,False,5102,0.11462715268135071,-0.017418593168258667,True,0.8
rand1,False,Once upon a time,15,45,False,5102,0.2597707509994507,-0.09789496660232544,True,0.8
rand1,False,Once upon a time,23,17,False,5102,0.10882094502449036,-0.06514662504196167,True,0.8
rand1,False,Once upon a time,23,45,False,84219,0.27154284715652466,-0.1388372778892517,True,0.8
rand2,False,The capital of France is,0,17,False,18882,0.07488492131233215,-0.06326580047607422,True,1.0
rand2,False,The capital of France is,0,45,False,18882,0.19376890361309052,-0.1018746942281723,True,1.0
rand2,False,The capital of France is,8,17,False,98331,0.06798577308654785,-0.06113791465759277,True,1.0
rand2,False,The capital of France is,8,45,False,18882,0.184891015291214,-0.09612014889717102,True,1.0
rand2,False,The capital of France is,15,17,False,61263,0.11732468008995056,-0.007882967591285706,True,1.0
rand2,False,The capital of France is,15,45,False,18882,0.20197173953056335,-0.08073008060455322,True,1.0
rand2,False,The capital of France is,23,17,False,61263,0.08825057744979858,-0.048288971185684204,True,0.9
rand2,False,The capital of France is,23,45,False,73086,0.18862444162368774,-0.14138945937156677,True,1.0
rand2,False,Once upon a time,0,17,False,18882,0.07517646253108978,-0.06290121376514435,True,1.0
rand2,False,Once upon a time,0,45,False,18882,0.19398793578147888,-0.1011812686920166,True,1.0
rand2,False,Once upon a time,8,17,False,61263,0.06559138000011444,-0.060268864035606384,True,1.0
rand2,False,Once upon a time,8,45,False,18882,0.18442881107330322,-0.09326058626174927,True,1.0
rand2,False,Once upon a time,15,17,False,61263,0.08118058741092682,-0.033788926899433136,True,1.0
rand2,False,Once upon a time,15,45,False,18882,0.1896926760673523,-0.1067362129688263,True,1.0
rand2,False,Once upon a time,23,17,False,61263,0.07797962427139282,-0.06466132402420044,True,1.0
rand2,False,Once upon a time,23,45,False,79859,0.1896088421344757,-0.1450071930885315,True,1.0
rand3,False,The capital of France is,0,17,False,127668,0.07307782024145126,-0.07393444329500198,True,0.7
rand3,False,The capital of France is,0,45,False,144346,0.23556654155254364,-0.0924539715051651,True,1.0
rand3,False,The capital of France is,8,17,False,87956,0.07180441915988922,-0.06343299150466919,True,0.6
rand3,False,The capital of France is,8,45,False,144346,0.2100992351770401,-0.08953122794628143,True,1.0
rand3,False,The capital of France is,15,17,False,87956,0.09592431783676147,-0.03007340431213379,True,1.0
rand3,False,The capital of France is,15,45,False,144346,0.2315298467874527,-0.08903835713863373,True,1.0
rand3,False,The capital of France is,23,17,False,144346,0.11911775171756744,-0.04003290832042694,True,1.0
rand3,False,The capital of France is,23,45,False,144346,0.27181679010391235,-0.11288249492645264,True,1.0
rand3,False,Once upon a time,0,17,False,87956,0.0730583444237709,-0.0738668367266655,True,0.7
rand3,False,Once upon a time,0,45,False,144346,0.2355327010154724,-0.09202086925506592,True,1.0
rand3,False,Once upon a time,8,17,False,87956,0.0650632455945015,-0.06567410379648209,True,0.5
rand3,False,Once upon a time,8,45,False,144346,0.21238161623477936,-0.08709143102169037,True,1.0
rand3,False,Once upon a time,15,17,False,87956,0.07927637547254562,-0.043890275061130524,True,1.0
rand3,False,Once upon a time,15,45,False,144346,0.22691841423511505,-0.10183398425579071,True,1.0
rand3,False,Once upon a time,23,17,False,144346,0.11964429914951324,-0.045526012778282166,True,1.0
rand3,False,Once upon a time,23,45,False,144346,0.2720807194709778,-0.11702299118041992,True,1.0
rand4,False,The capital of France is,0,17,False,141907,0.08340011537075043,-0.05862872302532196,True,0.8
rand4,False,The capital of France is,0,45,False,141907,0.20206071436405182,-0.12293390929698944,True,0.9
rand4,False,The capital of France is,8,17,False,141907,0.07885263860225677,-0.05175797641277313,True,0.7
rand4,False,The capital of France is,8,45,False,141907,0.198898583650589,-0.09794509410858154,True,1.0
rand4,False,The capital of France is,15,17,False,141907,0.08082832396030426,-0.04834495484828949,True,0.8
rand4,False,The capital of France is,15,45,False,141907,0.20017807185649872,-0.11086632311344147,True,1.0
rand4,False,The capital of France is,23,17,False,86833,0.08472298085689545,-0.06822431087493896,True,0.8
rand4,False,The capital of France is,23,45,False,141907,0.19921627640724182,-0.17048019170761108,True,0.9
rand4,False,Once upon a time,0,17,False,141907,0.08321996033191681,-0.05871999263763428,True,0.8
rand4,False,Once upon a time,0,45,False,141907,0.20192383229732513,-0.12260554730892181,True,1.0
rand4,False,Once upon a time,8,17,False,141907,0.07826672494411469,-0.048713281750679016,True,0.6
rand4,False,Once upon a time,8,45,False,141907,0.1985354870557785,-0.09797661006450653,True,1.0
rand4,False,Once upon a time,15,17,False,141907,0.0874515026807785,-0.03858610987663269,True,1.0
rand4,False,Once upon a time,15,45,False,141907,0.20528918504714966,-0.12045961618423462,True,1.0
rand4,False,Once upon a time,23,17,False,141907,0.08536620438098907,-0.07359239459037781,True,0.9
rand4,False,Once upon a time,23,45,False,141907,0.20345667004585266,-0.17062392830848694,True,0.9
rand5,False,The capital of France is,0,17,False,119586,0.07635387778282166,-0.0693315863609314,True,0.6
rand5,False,The capital of France is,0,45,False,120286,0.18782708048820496,-0.1350073516368866,True,1.0
rand5,False,The capital of France is,8,17,False,119586,0.06952960044145584,-0.06375833600759506,True,0.6
rand5,False,The capital of France is,8,45,False,120286,0.1756720244884491,-0.1275205910205841,True,1.0
rand5,False,The capital of France is,15,17,False,119586,0.08357755094766617,-0.043706126511096954,True,0.9
rand5,False,The capital of France is,15,45,False,120286,0.19367119669914246,-0.12850028276443481,True,1.0
rand5,False,The capital of France is,23,17,False,36368,0.08943071216344833,-0.06746426969766617,True,0.9
rand5,False,The capital of France is,23,45,False,36368,0.21300679445266724,-0.16623717546463013,True,0.9
rand5,False,Once upon a time,0,17,False,119586,0.07668592035770416,-0.06890921294689178,True,0.6
rand5,False,Once upon a time,0,45,False,120286,0.18767774105072021,-0.13529065251350403,True,1.0
rand5,False,Once upon a time,8,17,False,119586,0.07015585154294968,-0.05843598395586014,True,0.6
rand5,False,Once upon a time,8,45,False,119586,0.1716526299715042,-0.13248668611049652,True,1.0
rand5,False,Once upon a time,15,17,False,120286,0.07425285875797272,-0.04648993909358978,True,1.0
rand5,False,Once upon a time,15,45,False,120286,0.18701377511024475,-0.13368645310401917,True,1.0
rand5,False,Once upon a time,23,17,False,120286,0.0844663754105568,-0.07852932065725327,True,0.8
rand5,False,Once upon a time,23,45,False,36368,0.20850813388824463,-0.17533618211746216,True,1.0
